lang,domain,intent,sentence
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de la E I I"
